Id;Coor_X;Coor_Y;Class;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Av50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor
95;495531,71;4146469,46;2;4522810;4,52281;1,35;1,72;0,94;3,05;1,9;0,79;3,33;1022,15;1021,66;1021,14;1022,15;1021,65;1020,1;1022,99;8;321,16;425;1048,87
96;495500,5;4146335,24;2;4058660;4,05866;2,49;2,41;1,37;3,43;2,22;1,27;3,59;1022,64;1022,6;1022,13;1023,1;1022,68;1021,25;1024,24;8;299,65;544;1163,44
97;495620,67;4147069,56;2;1762790;1,76279;51,27;47,06;29,9;60,75;40,22;2,82;60,75;999,22;998,72;985,3;1011,82;998,76;971,04;1016,63;2;53,15;125;627,71
98;495620,67;4147055,52;2;1791590;1,79159;58,75;45,14;11,41;60,75;37,46;0,98;60,75;1003,05;1003,23;989,74;1015,42;1001,68;973,34;1016,79;2;47,39;139;637,69
99;496533,7;4144567,72;2;2940390;2,94039;3,19;3,54;2,79;4,95;3,65;2,57;5,27;1058,29;1057,95;1056,96;1059,04;1057,78;1054,9;1060,71;1;4,08;205;1136,35
100;496586,76;4144701,94;2;456192;0,456192;2,87;3,21;1,67;4,81;3,26;1,67;4,81;1055,18;1055,28;1054,41;1056,43;1055,85;1053,16;1058,34;8;308,95;349;1029,25
101;496724,11;4144817,43;2;3250370;3,25037;1,93;2,09;1,72;2,59;2,15;1,57;2,83;1058,03;1057,23;1056,59;1058,03;1057,3;1055,66;1059,28;8;331,27;514,34;858,55
102;496814,63;4144886,11;2;3317340;3,31734;1,94;1,99;1,5;2,64;2,03;1,26;3,14;1058,44;1057,71;1057,16;1058,44;1057,62;1056,11;1059,7;7;297,82;618,57;750,53
103;497211,05;4144998,48;2;2687260;2,68726;48,14;43;2,54;106,07;43,01;1,6;110,28;1060,55;1056,03;1035,42;1060,98;1047,47;991,25;1062,35;2;45,65;334,29;339,04
104;497395,22;4145023,45;2;748027;0,748027;13,97;16,63;8,22;31,26;20,16;1,71;51,12;955,09;954,64;950,17;960,4;956,9;937,63;983,32;2;46,89;165,15;162,67
105;497264,12;4144611,42;2;1510940;1,51094;1,9;2,04;1,3;2,61;2,05;1,3;4,72;1066,85;1066,74;1066,05;1067,33;1066,62;1054,45;1068,57;8;334,03;305,13;425,21
106;497204,81;4144508,41;2;2867260;2,86726;3,65;3,12;1,7;3,91;2,69;0,79;3,91;1069,41;1068,52;1067,59;1069,41;1068,29;1066,28;1070,33;8;335,18;370,73;513,68
