Id;Coor_X ;Coor_Y;Area;Necrop;Muni;Grid10;Grid50;Cad_Ref;Cad_Pol;Cad_Par;Ort_Cham;Ort_Cov;Corridor;Typo2019;Typo1959;Cham_Len59;Cham_Wid59;Cham_Hei59;Surface59;Volume59;Corr_Len59;Corr_Wid59;Cham_Len19;Cham_Wid19;Cham_Hei19;Surface19;Volume19;Corr_Len19;Corr_Wid19;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Min50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Corr;Ori_Corr2;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor;Dis_Fardes;Dis_Baul;Topo_Terr;Riverside;Use1870;Use1956;Conserv;Geo;Litho;Gull_Ero;Aeol_Ero
93;496135;4146040;10;4;3;99321;993;18091A00400001;4;1;4;0;0;2;5;1,8;1,65;1,75;2,97;5,19;;;;;;;;;;3908000;3,908;2,16;2,04;1,3;2,6;2,04;1,3;2,69;1035,32;1034,3;1033,64;1035,32;1034,27;1033,24;1035,53;;;7;263,65;671,55;877,06;8054,3;9097,19;1;2;4;5;3;3;2;0;0
94;496181;4146065;10;4;3;99321;993;18091A00400001;4;1;;0;0;;3;1,9;1,8;0,9;3,42;3,07;;;;;;;;;;4773790;4,77379;2,66;2,55;2,08;2,83;2,39;1,73;3,14;1035,47;1034,64;1034;1035,53;1034,56;1033,58;1035,78;;;7;253,64;620,26;824,96;8080,92;9054,51;1;2;4;5;3;3;2;0;0
95;496170;4146034;10;4;3;99321;993;18091A00400001;4;1;;0;0;;5;1,8;;0,8;;;;;;;;;;;;4452290;4,45229;2,29;2,14;1,38;2,69;2,08;1,3;2,71;1035,34;1034,84;1034,04;1035,53;1034,87;1033,74;1036,23;;;7;258,29;642,79;851,77;8087,38;9061,73;1;2;4;5;3;3;2;0;0
96;496193;4146001;10;4;3;99321;993;18091A00400001;4;1;;0;0;;5;1,6;1,3;0,8;2,08;1,66;;;;;;;;;;4591960;4,59196;1,7;1,76;1,33;2,12;1,84;1,32;2,62;1035,56;1035,53;1034,99;1036,23;1035,55;1034,53;1036,67;;;7;281,74;639,93;853,28;8124,11;9035,06;1;2;4;5;3;3;2;0;0
97;496322;4145964;10;4;3;99321;993;18091A00400002;4;2;8;0;1;1;1;4,2;2,15;1,85;9,03;16,7;;;3,9;2,2;1;8,58;8,58;;;4240260;4,24026;1,53;1,93;1,27;2,92;2,16;1,27;3,67;1038,11;1037,7;1037,12;1038,44;1037,58;1036,48;1039,06;2;47;8;312,49;547,56;771,35;8253,75;8902,7;1;2;4;5;2;3;2;0;0
98;496346;4145945;10;4;3;99321;993;18091A00400002;4;2;7;0;0;1;1;4,1;2,4;2;9,84;19,68;;;;3,36;0,84;;;;;4011580;4,01158;1,93;2,02;1,4;2,92;2,16;1,27;3,67;1039,06;1038,2;1037,69;1039,06;1038,11;1037,15;1039,22;3;101;8;298,79;538,9;763,01;8284,1;8876,74;1;2;4;5;3;3;2;0;0
99;496365;4145859;10;4;3;99321;993;18091A00400002;4;2;;0;0;;5;1,5;1,4;1,2;2,1;2,52;;;;;;;;;;4033270;4,03327;2,36;2,01;1,21;2,64;1,89;1,19;2,65;1039,82;1039,25;1038,74;1039,82;1039,28;1038,25;1040,11;;;8;296,28;583,89;781,89;8344,79;8848,77;1;2;4;5;3;3;2;0;0
100;496582;4145704;10;4;3;99322;993;18091A00400003;4;3;8;0;1;1;2;1,45;1,1;1,25;1,59;1,99;;;1,5;1,2;1,2;1,8;2,16;0,55;0,6;2473890;2,47389;2,22;2,21;1,75;2,62;2,12;1,28;2,74;1043,67;1043,61;1042,94;1044,24;1043,57;1042,46;1044,65;2;52;1;342,13;421,38;610,51;8610,77;8618,28;1;2;4;5;2;3;2;0;0
102;496872;4147747;11;5;2;99322;993;18088A00800045;8;45;5;0;1;2;2;2;1,15;1,1;2,3;2,53;;;1,8;1,25;1;2,25;2,25;1,2;0,6;4112790;4,11279;9,47;21,3;1,04;57,98;26,92;1,04;61,5;1015,45;1013,17;1005,39;1015,69;1010,04;993,79;1015,95;4;140;7;283,64;113,15;782,95;7590,1;8749,98;1;1;4;4;2;3;2;0;0
103;496882;4147422;11;5;2;99322;993;18091A06500002;65;2;;0;1;;;;;;;;;;;;;;;;;4176520;4,17652;31,47;30,64;1,02;60,61;33,92;1,02;68,62;1020,41;1018,07;1005,72;1022,35;1015,29;991,98;1022,8;4;155;6;231,04;74,31;549,69;7802,12;8642,64;1;1;4;4;2;3;2;1;0
106;497277;4146815;11;5;2;99322;993;18091A06500005;65;5;7;0;1;;4;;;;;;1,5;0,6;1,3;1,35;;1,75;;1;0,45;3822660;3,82266;8,61;16,29;0,46;58,5;22,74;0,11;118,81;1035,34;1033,59;1025,07;1035,55;1031,68;1006,46;1035,61;3;110;7;272,83;116,15;455,33;8496,99;8105,14;1;1;2;5;3;3;2;1;0
108;497974;4145172;12;5;2;99322;993;18091A06500017;65;17;5;0;1;1;5;1,4;1,15;0,95;1,61;1,52;;;1,4;0,9;0,8;1,26;1;0,9;0,5;2043880;2,04388;3,69;16;0,46;86,42;29,79;0,46;153,44;1063,28;1062,1;1052,19;1063,57;1058,19;1005,15;1064,01;4;134;8;304,4;204,92;343,93;10079,53;7197,65;1;1;4;1;2;3;2;0;0
109;497983;4145159;12;5;2;99322;993;18091A06500022;65;22;5;0;1;1;5;1,6;1,45;1,1;2,32;2,55;;;1,5;1,2;1,1;1,8;1,98;0,7;0,45;2100190;2,10019;4,25;15,36;0,57;60,77;28,65;0,46;154,01;1063,26;1061,99;1052,13;1064,01;1058,14;1005,15;1064,28;4;118;8;296,7;211,19;348,73;10093,81;7188,29;1;1;4;1;3;3;2;0;0
110;497988;4145149;12;5;2;99322;993;18091A06500022;65;22;5;0;1;1;4;1,4;1,6;1,1;2,24;2,46;;;1,3;1,5;1;1,95;1,95;1,2;0,6;2174890;2,17489;13,3;24,01;2,47;106,25;40,06;0,46;159,77;1063,41;1060,44;1044,34;1064,14;1055,02;1000,77;1064,34;3;93;6;235,87;214,77;345,31;10103,14;7183,03;1;1;4;1;3;3;2;0;0
111;497994;4145142;12;5;2;99322;993;18091A06500022;65;22;7;0;1;1;5;;;;;;;;2;1,5;1,15;3;3,45;0,9;0,66;2574600;2,5746;5,67;26,53;2,42;120,23;42,07;1,53;156,69;1064,01;1060,36;1043,89;1064,28;1054,62;1002,17;1064,55;3;112;6;246,97;220,08;345,97;10111,83;7176,86;1;1;4;1;2;3;2;0;0
112;498013;4145133;12;5;2;99322;993;18091A06500022;65;22;4;0;1;1;2;1,6;1,1;1;1,76;1,76;;;1,6;1,2;0,9;1,92;1,72;1,2;0,55;2049150;2,04915;3,31;18,21;2,4;86,28;32,96;1,89;153,09;1064,05;1062,63;1051,83;1064,55;1058,19;1010,65;1064,9;4;124;7;286,25;238,54;356,11;10132,79;7157,65;1;1;4;6;2;3;2;0;0
113;498034;4145113;12;5;2;99322;993;18091A06500023;65;23;5;0;1;1;5;1,8;1,7;0,9;3,06;2,75;;;1,8;1;0,7;1,8;1,26;1,1;0,45;2182770;2,18277;14,34;22,57;2,42;87,75;34,52;1,79;144,25;1064,66;1062,97;1049,32;1065,28;1058,94;1012,66;1065,73;4;125;8;317,74;259,67;363,2;10160,98;7136,22;1;1;4;6;2;3;2;0;0
116;498163;4144917;12;5;2;99332;993;18091A06500052;65;52;5;0;1;1;2;1,8;1,25;1,1;2,25;2,47;;;1,35;1,1;1;1,48;1,48;1;0,5;4110120;4,11012;6,58;32,23;0,71;94;41,25;0,71;128,46;1069,75;1066,25;1048,68;1070,59;1062,24;1018,32;1071;5;175;6;241,57;238,48;425,65;10371,27;7005,92;1;1;4;6;2;3;2;0;0
117;498189;4144882;12;5;2;99332;993;18091A06500052;65;52;2;0;1;;5;1,95;1,5;1;2,92;2,92;;;;;;;;;;3901070;3,90107;4,9;24,35;0,71;101,65;32,6;0,71;110,78;1071;1068,99;1057,25;1071,39;1065,54;1029,58;1071,79;5;159;1;344,82;251,54;425,62;10411,48;6980,26;1;1;4;1;3;3;2;0;0
