a_name,b_name,a_symbol,b_symbol,ratio,log10_abs,folded_to_octave,diatonic_note,diatonic_target,cents_error,within_tol_cents_20,integer_ratio,integer_pct_error,on_watchlist,watchlist_reason
mp_me,CMB_dT_T,m_p/m_e,ΔT/T,3.672305e+07,7.56494,1.094432,major 2nd (9:8),1.125000,-47.6908,False,550845802/15,0.0000,False,
mp_me,epsilon_K_CP,m_p/m_e,ε_K,8.241260e+05,5.91599,1.571896,perfect 5th (3:2),1.500000,81.0514,False,824126,-0.0000,False,
mp_me,CKM_lambda,m_p/m_e,λ,8.160679e+03,3.91173,1.992353,octave (2:1),2.000000,-6.6319,True,155053/19,-0.0001,False,
mp_me,CKM_A,m_p/m_e,A,2.204265e+03,3.34326,1.076301,major 2nd (9:8),1.125000,-76.6117,False,33064/15,-0.0001,False,
mp_me,CKM_rho,m_p/m_e,ρ,1.147595e+04,4.05979,1.400873,perfect 4th (4:3),1.333333,85.5468,False,229519/20,0.0000,False,
mp_me,CKM_eta,m_p/m_e,η,5.246150e+03,3.71984,1.280798,major 3rd (5:4),1.250000,42.1385,False,104923/20,0.0000,False,
mp_me,PMNS_sin2_12,m_p/m_e,sin²θ₁₂_ν,6.059910e+03,3.78247,1.479470,perfect 5th (3:2),1.500000,-23.8583,False,66659/11,0.0000,False,
mp_me,PMNS_sin2_23,m_p/m_e,sin²θ₂₃_ν,3.210057e+03,3.50651,1.567411,perfect 5th (3:2),1.500000,76.1049,False,57781/18,0.0000,False,
mp_me,PMNS_sin2_13,m_p/m_e,sin²θ₁₃_ν,8.334783e+04,4.92089,1.271787,major 3rd (5:4),1.250000,29.9147,False,500087/6,-0.0000,False,
Omega_Lambda,Omega_matter,Ω_Λ,Ω_m,2.171583e+00,0.33678,1.085791,major 2nd (9:8),1.125000,-61.4138,False,37/17,-0.2246,True,Cosmic coincidence (matter-Lambda crossover)
Omega_matter,Omega_baryon,Ω_m,Ω_b,6.395538e+00,0.80588,1.598884,major 6th (5:3),1.666667,-71.8800,False,32/5,-0.0697,False,
n_s,Omega_matter,n_s,Ω_m,3.060260e+00,0.48576,1.530130,perfect 5th (3:2),1.500000,34.4301,False,52/17,0.0470,False,
Omega_matter,electron_g-2,Ω_m,(g-2)/2,2.718919e+02,2.43440,1.062078,major 2nd (9:8),1.125000,-99.6430,False,5166/19,-0.0011,False,
mn_mp,Omega_matter,m_n/m_p,Ω_m,3.175954e+00,0.50187,1.587977,major 6th (5:3),1.666667,-83.7305,False,54/17,-0.0163,False,
m_mu_me,Omega_matter,m_μ/m_e,Ω_m,6.557827e+02,2.81676,1.280826,major 3rd (5:4),1.250000,42.1751,False,9181/14,-0.0005,False,
m_tau_me,Omega_matter,m_τ/m_e,Ω_m,1.102807e+04,4.04250,1.346200,perfect 4th (4:3),1.333333,16.6260,True,165421/15,0.0000,False,
m_tau_mmu,Omega_matter,m_τ/m_μ,Ω_m,5.333650e+01,1.72702,1.666766,major 6th (5:3),1.666667,0.1029,True,160/3,0.0059,False,
Omega_matter,CMB_dT_T,Ω_m,ΔT/T,6.306000e+03,3.79975,1.539551,perfect 5th (3:2),1.500000,45.0563,False,6306,0.0000,False,
Omega_matter,epsilon_K_CP,Ω_m,ε_K,1.415171e+02,2.15081,1.105602,major 2nd (9:8),1.125000,-30.1114,False,2689/19,-0.0065,False,
Omega_matter,CKM_lambda,Ω_m,λ,1.401333e+00,0.14654,1.401333,perfect 4th (4:3),1.333333,86.1152,False,7/5,0.0952,False,
CKM_A,Omega_matter,A,Ω_m,2.641928e+00,0.42192,1.320964,perfect 4th (4:3),1.333333,-16.1354,True,37/14,-0.0351,False,
Omega_matter,CKM_rho,Ω_m,ρ,1.970625e+00,0.29460,1.970625,octave (2:1),2.000000,-25.6161,False,39/20,1.0577,False,
CKM_eta,Omega_matter,η,Ω_m,1.110054e+00,0.04534,1.110054,major 2nd (9:8),1.125000,-23.1543,False,10/9,-0.0951,False,
Omega_matter,PMNS_sin2_12,Ω_m,sin²θ₁₂_ν,1.040594e+00,0.01728,1.040594,unison (1:1),1.000000,68.8889,False,21/20,-0.8958,False,
PMNS_sin2_23,Omega_matter,sin²θ₂₃_ν,Ω_m,1.814145e+00,0.25867,1.814145,major 7th (15:8),1.875000,-57.1207,False,29/16,0.0908,False,
Omega_matter,PMNS_sin2_13,Ω_m,sin²θ₁₃_ν,1.431230e+01,1.15571,1.789038,major 7th (15:8),1.875000,-81.2482,False,229/16,-0.0014,False,
Omega_Lambda,Omega_baryon,Ω_Λ,Ω_b,1.388844e+01,1.14265,1.736055,major 6th (5:3),1.666667,70.6162,False,125/9,-0.0032,False,
n_s,Omega_Lambda,n_s,Ω_Λ,1.409230e+00,0.14898,1.409230,perfect 4th (4:3),1.333333,95.8439,False,24/17,-0.1795,False,
Omega_Lambda,electron_g-2,Ω_Λ,(g-2)/2,5.904357e+02,2.77117,1.153195,major 2nd (9:8),1.125000,42.8533,False,9447/16,-0.0003,False,
mn_mp,Omega_Lambda,m_n/m_p,Ω_Λ,1.462507e+00,0.16510,1.462507,perfect 5th (3:2),1.500000,-43.8230,False,19/13,0.0663,False,
m_mu_me,Omega_Lambda,m_μ/m_e,Ω_Λ,3.019838e+02,2.47998,1.179624,major 2nd (9:8),1.125000,82.0826,False,302,-0.0054,False,
m_tau_me,Omega_Lambda,m_τ/m_e,Ω_Λ,5.078355e+03,3.70572,1.239833,major 3rd (5:4),1.250000,-14.1389,True,71097/14,-0.0000,False,
m_tau_mmu,Omega_Lambda,m_τ/m_μ,Ω_Λ,2.456112e+01,1.39025,1.535070,perfect 5th (3:2),1.500000,40.0104,False,393/16,-0.0056,False,
Omega_Lambda,CMB_dT_T,Ω_Λ,ΔT/T,1.369400e+04,4.13653,1.671631,major 6th (5:3),1.666667,5.1488,True,13694,-0.0000,False,
Omega_Lambda,epsilon_K_CP,Ω_Λ,ε_K,3.073160e+02,2.48759,1.200453,major 3rd (5:4),1.250000,-70.0190,False,5839/19,0.0001,False,
Omega_Lambda,CKM_lambda,Ω_Λ,λ,3.043111e+00,0.48332,1.521556,perfect 5th (3:2),1.500000,24.7014,False,61/20,-0.2259,False,
CKM_A,Omega_Lambda,A,Ω_Λ,1.216591e+00,0.08514,1.216591,major 3rd (5:4),1.250000,-46.9003,False,17/14,0.1899,False,
Omega_Lambda,CKM_rho,Ω_Λ,ρ,4.279375e+00,0.63138,1.069844,major 2nd (9:8),1.125000,-87.0299,False,77/18,0.0373,False,
Omega_Lambda,CKM_eta,Ω_Λ,η,1.956286e+00,0.29143,1.956286,octave (2:1),2.000000,-38.2595,False,39/20,0.3223,False,
Omega_Lambda,PMNS_sin2_12,Ω_Λ,sin²θ₁₂_ν,2.259736e+00,0.35406,1.129868,major 2nd (9:8),1.125000,7.4751,True,43/19,-0.1512,False,
Omega_Lambda,PMNS_sin2_23,Ω_Λ,sin²θ₂₃_ν,1.197028e+00,0.07810,1.197028,major 3rd (5:4),1.250000,-74.9655,False,6/5,-0.2477,False,
Omega_Lambda,PMNS_sin2_13,Ω_Λ,sin²θ₁₃_ν,3.108034e+01,1.49249,1.942522,octave (2:1),2.000000,-50.4833,False,373/12,-0.0096,False,
n_s,Omega_baryon,n_s,Ω_b,1.957201e+01,1.29164,1.223251,major 3rd (5:4),1.250000,-37.4499,False,137/7,0.0030,False,
Omega_baryon,electron_g-2,Ω_b,(g-2)/2,4.251275e+01,1.62852,1.328523,perfect 4th (4:3),1.333333,-6.2567,True,85/2,0.0300,False,
mn_mp,Omega_baryon,m_n/m_p,Ω_b,2.031194e+01,1.30775,1.269496,major 3rd (5:4),1.250000,26.7933,False,325/16,-0.0028,False,
m_mu_me,Omega_baryon,m_μ/m_e,Ω_b,4.194083e+03,3.62264,1.023946,unison (1:1),1.000000,40.9676,False,50329/12,-0.0000,False,
m_tau_me,Omega_baryon,m_τ/m_e,Ω_b,7.053043e+04,4.84838,1.076209,major 2nd (9:8),1.125000,-76.7602,False,493713/7,-0.0000,False,
m_tau_mmu,Omega_baryon,m_τ/m_μ,Ω_b,3.411156e+02,2.53290,1.332483,perfect 4th (4:3),1.333333,-1.1046,True,5799/17,-0.0006,False,
Omega_baryon,CMB_dT_T,Ω_b,ΔT/T,9.860000e+02,2.99388,1.925781,major 7th (15:8),1.875000,46.2639,False,986,-0.0000,False,
Omega_baryon,epsilon_K_CP,Ω_b,ε_K,2.212747e+01,1.34493,1.382967,perfect 4th (4:3),1.333333,63.2748,False,177/8,0.0112,False,
CKM_lambda,Omega_baryon,λ,Ω_b,4.563895e+00,0.65934,1.140974,major 2nd (9:8),1.125000,24.4085,False,73/16,0.0306,False,
CKM_A,Omega_baryon,A,Ω_b,1.689655e+01,1.22780,1.056034,unison (1:1),1.000000,94.3883,False,321/19,0.0107,False,
CKM_rho,Omega_baryon,ρ,Ω_b,3.245436e+00,0.51127,1.622718,major 6th (5:3),1.666667,-46.2639,False,13/4,-0.1404,False,
CKM_eta,Omega_baryon,η,Ω_b,7.099391e+00,0.85122,1.774848,major 7th (15:8),1.875000,-95.0343,False,71/10,-0.0086,False,
PMNS_sin2_12,Omega_baryon,sin²θ₁₂_ν,Ω_b,6.146045e+00,0.78860,1.536511,perfect 5th (3:2),1.500000,41.6349,False,43/7,0.0519,False,
PMNS_sin2_23,Omega_baryon,sin²θ₂₃_ν,Ω_b,1.160243e+01,1.06455,1.450304,perfect 5th (3:2),1.500000,-58.3283,False,58/5,0.0210,False,
Omega_baryon,PMNS_sin2_13,Ω_b,sin²θ₁₃_ν,2.237857e+00,0.34983,1.118929,major 2nd (9:8),1.125000,-9.3682,True,38/17,0.1147,False,
n_s,electron_g-2,n_s,(g-2)/2,8.320598e+02,2.92015,1.625117,major 6th (5:3),1.666667,-43.7066,False,14145/17,0.0001,False,
mn_mp,n_s,m_n/m_p,n_s,1.037805e+00,0.01612,1.037805,unison (1:1),1.000000,64.2431,False,21/20,-1.1614,False,
m_mu_me,n_s,m_μ/m_e,n_s,2.142899e+02,2.33100,1.674140,major 6th (5:3),1.666667,7.7450,True,1500/7,0.0019,False,
m_tau_me,n_s,m_τ/m_e,n_s,3.603638e+03,3.55674,1.759589,major 6th (5:3),1.666667,93.9272,False,39640/11,0.0000,False,
m_tau_mmu,n_s,m_τ/m_μ,n_s,1.742875e+01,1.24127,1.089297,major 2nd (9:8),1.125000,-55.8335,False,122/7,0.0010,False,
n_s,CMB_dT_T,n_s,ΔT/T,1.929800e+04,4.28551,1.177856,major 2nd (9:8),1.125000,79.4865,False,19298,0.0000,False,
n_s,epsilon_K_CP,n_s,ε_K,4.330790e+02,2.63657,1.691715,major 6th (5:3),1.666667,25.8250,False,5630/13,0.0005,False,
n_s,CKM_lambda,n_s,λ,4.288444e+00,0.63230,1.072111,major 2nd (9:8),1.125000,-83.3647,False,30/7,0.0637,False,
n_s,CKM_A,n_s,A,1.158343e+00,0.06384,1.158343,major 2nd (9:8),1.125000,50.5655,False,22/19,0.0387,False,
n_s,CKM_rho,n_s,ρ,6.030625e+00,0.78036,1.507656,perfect 5th (3:2),1.500000,8.8140,True,121/20,-0.3202,False,
n_s,CKM_eta,n_s,η,2.756857e+00,0.44041,1.378429,perfect 4th (4:3),1.333333,57.5844,False,11/4,0.2494,False,
n_s,PMNS_sin2_12,n_s,sin²θ₁₂_ν,3.184488e+00,0.50304,1.592244,major 6th (5:3),1.666667,-79.0847,False,35/11,0.0839,False,
n_s,PMNS_sin2_23,n_s,sin²θ₂₃_ν,1.686888e+00,0.22709,1.686888,major 6th (5:3),1.666667,20.8784,False,27/16,-0.0363,False,
n_s,PMNS_sin2_13,n_s,sin²θ₁₃_ν,4.379936e+01,1.64147,1.368730,perfect 4th (4:3),1.333333,45.3606,False,219/5,-0.0015,False,
mn_mp,electron_g-2,m_n/m_p,(g-2)/2,8.635162e+02,2.93627,1.686555,major 6th (5:3),1.666667,20.5366,False,16407/19,-0.0012,False,
m_mu_me,electron_g-2,m_μ/m_e,(g-2)/2,1.783020e+05,5.25116,1.360336,perfect 4th (4:3),1.333333,34.7109,False,178302,-0.0000,False,
m_tau_me,electron_g-2,m_τ/m_e,(g-2)/2,2.998442e+06,6.47690,1.429769,perfect 5th (3:2),1.500000,-83.0169,False,17990653/6,0.0000,False,
m_tau_mmu,electron_g-2,m_τ/m_μ,(g-2)/2,1.450176e+04,4.16142,1.770235,major 7th (15:8),1.875000,-99.5400,False,246530/17,-0.0000,False,
electron_g-2,CMB_dT_T,(g-2)/2,ΔT/T,2.319304e+01,1.36536,1.449565,perfect 5th (3:2),1.500000,-59.2107,False,371/16,0.0239,False,
epsilon_K_CP,electron_g-2,ε_K,(g-2)/2,1.921266e+00,0.28359,1.921266,major 7th (15:8),1.875000,42.1998,False,25/13,-0.0942,False,
CKM_lambda,electron_g-2,λ,(g-2)/2,1.940237e+02,2.28785,1.515810,perfect 5th (3:2),1.500000,18.1518,True,194,0.0122,False,
CKM_A,electron_g-2,A,(g-2)/2,7.183188e+02,2.85632,1.402966,perfect 4th (4:3),1.333333,88.1316,False,13648/19,0.0004,False,
CKM_rho,electron_g-2,ρ,(g-2)/2,1.379724e+02,2.13979,1.077909,major 2nd (9:8),1.125000,-74.0269,False,2759/20,0.0162,False,
CKM_eta,electron_g-2,η,(g-2)/2,3.018146e+02,2.47974,1.178963,major 2nd (9:8),1.125000,81.1127,False,4829/16,0.0007,False,
PMNS_sin2_12,electron_g-2,sin²θ₁₂_ν,(g-2)/2,2.612852e+02,2.41711,1.020645,unison (1:1),1.000000,35.3782,False,1829/7,-0.0002,False,
PMNS_sin2_23,electron_g-2,sin²θ₂₃_ν,(g-2)/2,4.932513e+02,2.69307,1.926763,major 7th (15:8),1.875000,47.1463,False,1973/4,0.0003,False,
PMNS_sin2_13,electron_g-2,sin²θ₁₃_ν,(g-2)/2,1.899708e+01,1.27869,1.187317,major 3rd (5:4),1.250000,-89.0672,False,19,-0.0154,False,
m_mu_me,mn_mp,m_μ/m_e,m_n/m_p,2.064837e+02,2.31489,1.613154,major 6th (5:3),1.666667,-56.4981,False,3923/19,0.0048,False,
m_tau_me,mn_mp,m_τ/m_e,m_n/m_p,3.472364e+03,3.54063,1.695490,major 6th (5:3),1.666667,29.6841,False,38196/11,-0.0000,False,
m_tau_mmu,mn_mp,m_τ/m_μ,m_n/m_p,1.679385e+01,1.22515,1.049616,unison (1:1),1.000000,83.8334,False,319/19,0.0261,False,
mn_mp,CMB_dT_T,m_n/m_p,ΔT/T,2.002757e+04,4.30163,1.222386,major 3rd (5:4),1.250000,-38.6741,False,140193/7,-0.0000,False,
mn_mp,epsilon_K_CP,m_n/m_p,ε_K,4.494517e+02,2.65268,1.755671,major 6th (5:3),1.666667,90.0681,False,8989/20,0.0004,False,
